iter	Passed	Remaining
0	1	192
1	4	196
2	6	210
3	9	217
4	11	215
5	12	201
6	14	191
7	16	191
8	19	195
9	20	186
10	21	176
11	25	183
12	26	177
13	27	170
14	30	170
15	32	168
16	34	166
17	35	161
18	37	158
19	38	155
20	40	151
21	41	148
22	43	145
23	45	145
24	48	144
25	50	142
26	51	138
27	52	136
28	55	134
29	56	132
30	58	129
31	59	127
32	61	125
33	63	123
34	65	120
35	67	120
36	69	118
37	70	115
38	71	112
39	73	109
40	74	107
41	75	103
42	80	106
43	83	106
44	85	104
45	87	102
46	88	99
47	89	97
48	91	95
49	93	93
50	95	91
51	96	89
52	99	88
53	100	85
54	101	83
55	103	81
56	105	79
57	107	77
58	109	75
59	110	73
60	111	71
61	113	69
62	115	67
63	117	65
64	118	63
65	119	61
66	121	60
67	123	58
68	125	56
69	126	54
70	127	52
71	129	50
72	130	48
73	132	46
74	133	44
75	135	42
76	136	40
77	138	39
78	139	37
79	140	35
80	142	33
81	144	31
82	145	29
83	147	28
84	149	26
85	151	24
86	152	22
87	154	21
88	156	19
89	157	17
90	159	15
91	160	13
92	162	12
93	164	10
94	165	8
95	166	6
96	167	5
97	169	3
98	171	1
99	173	0
