iter	Passed	Remaining
0	134	133875
1	135	67384
2	136	45235
3	136	34109
4	137	27410
5	138	22936
6	139	19733
7	139	17340
8	140	15475
9	141	13984
10	142	12779
11	143	11793
12	144	10961
13	145	10234
14	146	9602
15	147	9047
16	148	8559
17	148	8123
18	149	7737
19	150	7385
20	151	7071
21	152	6775
22	153	6504
23	153	6255
24	154	6026
25	155	5814
26	155	5618
27	156	5438
28	157	5269
29	158	5111
30	158	4965
31	159	4827
32	160	4698
33	161	4577
34	161	4463
35	162	4355
36	163	4253
37	164	4157
38	165	4069
39	166	3989
40	167	3906
41	167	3826
42	168	3749
43	169	3676
44	169	3607
45	170	3540
46	171	3476
47	172	3416
48	173	3358
49	173	3302
50	174	3249
51	175	3197
52	176	3147
53	177	3101
54	177	3055
55	178	3010
56	179	2968
57	180	2934
58	181	2894
59	182	2855
60	183	2817
61	183	2781
62	184	2745
63	185	2712
64	186	2681
65	187	2650
66	188	2619
67	188	2589
68	189	2560
69	190	2531
70	191	2504
71	192	2477
72	193	2451
73	193	2426
74	195	2405
75	196	2387
76	197	2364
77	198	2340
78	198	2317
79	199	2295
80	200	2274
81	201	2253
82	201	2228
83	202	2208
84	203	2189
85	204	2170
86	205	2153
87	206	2136
88	207	2119
89	208	2104
90	209	2090
91	210	2075
92	211	2063
93	212	2047
94	213	2032
95	214	2017
96	215	2002
97	215	1987
98	216	1974
99	217	1960
100	218	1946
101	219	1933
102	220	1920
103	221	1909
104	222	1898
105	223	1886
106	224	1873
107	225	1864
108	226	1854
109	227	1843
110	228	1832
111	229	1820
112	230	1810
113	231	1799
114	232	1789
115	233	1778
116	234	1767
117	235	1757
118	236	1747
119	236	1737
120	237	1728
121	238	1719
122	240	1711
123	241	1704
124	242	1696
125	243	1687
126	243	1677
127	244	1668
128	245	1660
129	246	1652
130	247	1644
131	248	1636
132	249	1628
133	250	1620
134	251	1613
135	252	1605
136	254	1600
137	255	1594
138	257	1593
139	258	1587
140	259	1581
141	260	1573
142	261	1568
143	262	1561
144	263	1554
145	264	1548
146	265	1541
147	266	1535
148	267	1529
149	268	1522
150	270	1521
151	272	1517
152	273	1511
153	274	1507
154	275	1501
155	276	1496
156	277	1490
157	278	1484
158	279	1479
159	280	1473
160	281	1466
161	282	1460
162	283	1455
163	284	1449
164	285	1446
165	287	1442
166	288	1437
167	289	1432
168	290	1427
169	291	1423
170	292	1417
171	293	1412
172	294	1407
173	295	1403
174	297	1400
175	298	1396
176	299	1392
177	301	1390
178	303	1392
179	304	1389
180	306	1385
181	307	1380
182	308	1376
183	309	1371
184	310	1366
185	311	1361
186	312	1357
187	313	1353
188	314	1349
189	315	1346
190	317	1343
191	318	1339
192	319	1335
193	320	1331
194	321	1328
195	323	1326
196	324	1322
197	325	1318
198	326	1313
199	327	1309
200	328	1305
201	329	1302
202	331	1300
203	332	1297
204	333	1293
205	334	1289
206	335	1285
207	336	1282
208	337	1278
209	338	1275
210	340	1271
211	341	1268
212	342	1265
213	343	1262
214	344	1259
215	346	1256
216	347	1253
217	348	1250
218	349	1247
219	351	1244
220	352	1241
221	353	1237
222	354	1235
223	355	1232
224	356	1228
225	357	1224
226	358	1221
227	359	1218
228	361	1215
229	362	1213
230	363	1210
231	364	1207
232	365	1203
233	366	1200
234	367	1197
235	368	1194
236	370	1191
237	371	1188
238	372	1185
239	373	1183
240	374	1180
241	376	1178
242	377	1176
243	379	1174
244	380	1172
245	381	1169
246	382	1166
247	383	1162
248	384	1160
249	386	1158
250	387	1156
251	388	1153
252	389	1150
253	390	1147
254	392	1146
255	393	1144
256	395	1142
257	396	1139
258	397	1136
259	398	1135
260	400	1134
261	401	1132
262	403	1129
263	404	1127
264	405	1124
265	406	1122
266	407	1120
267	409	1117
268	410	1114
269	411	1112
270	412	1109
271	413	1106
272	414	1103
273	415	1101
274	417	1099
275	418	1097
276	419	1094
277	420	1092
278	422	1091
279	423	1089
280	424	1086
281	425	1084
282	426	1081
283	427	1078
284	428	1076
285	430	1073
286	431	1071
287	432	1068
288	433	1066
289	434	1064
290	435	1061
291	437	1060
292	439	1059
293	440	1058
294	441	1056
295	443	1053
296	444	1052
297	445	1049
298	446	1047
299	448	1045
300	449	1043
301	450	1041
302	453	1042
303	454	1040
304	455	1038
305	456	1035
306	458	1033
307	459	1032
308	460	1030
309	461	1027
310	462	1025
311	463	1023
312	465	1020
313	466	1018
314	467	1017
315	469	1015
316	470	1013
317	471	1011
318	472	1009
319	474	1007
320	475	1005
321	476	1002
322	477	1000
323	478	998
324	479	996
325	480	994
326	481	991
327	483	990
328	484	988
329	485	986
330	486	983
331	487	981
332	488	979
333	489	976
334	491	974
335	492	972
336	493	970
337	493	967
338	494	965
339	496	963
340	497	961
341	499	960
342	500	958
343	501	956
344	502	953
345	503	951
346	504	949
347	505	947
348	506	944
349	507	943
350	508	940
351	510	938
352	511	937
353	512	936
354	515	936
355	517	935
356	518	933
357	519	932
358	521	931
359	523	930
360	526	931
361	528	931
362	530	931
363	532	930
364	534	929
365	536	929
366	541	934
367	544	934
368	545	933
369	547	932
370	549	930
371	550	929
372	552	928
373	553	926
374	555	925
375	557	925
376	560	926
377	562	925
378	563	923
379	565	922
380	566	920
381	568	919
382	571	919
383	574	921
384	576	920
385	577	918
386	579	917
387	581	916
388	583	915
389	585	915
390	586	913
391	587	911
392	589	910
393	592	910
394	593	909
395	605	922
396	606	921
397	608	920
398	610	918
399	612	919
400	616	920
401	618	919
402	619	917
403	621	916
404	622	914
405	623	912
406	625	910
407	626	909
408	631	912
409	634	912
410	636	911
411	637	910
412	639	908
413	640	907
414	642	905
415	645	905
416	646	904
417	648	902
418	649	900
419	651	899
420	654	900
421	656	899
422	659	898
423	660	897
424	661	895
425	663	893
426	664	891
427	666	890
428	668	889
429	673	892
430	675	891
431	678	892
432	680	891
433	682	890
434	685	889
435	687	889
436	689	888
437	691	887
438	693	886
439	696	886
440	697	884
441	699	883
442	703	884
443	705	883
444	707	882
445	710	882
446	712	880
447	714	879
448	716	879
449	719	878
450	724	881
451	727	881
452	732	884
453	737	886
454	740	887
455	744	887
456	750	892
457	753	891
458	755	890
459	757	888
460	759	887
461	761	886
462	764	886
463	767	886
464	769	885
465	771	883
